Year,RMSE
sub_ts_Apr2030_Mar2031,0.3776125523804894
sub_ts_Apr2031_Mar2032,0.4093504942306652
sub_ts_Apr2032_Mar2033,0.30932416187352446
sub_ts_Apr2033_Mar2034,0.5015110157593677
sub_ts_Apr2034_Mar2035,0.46008116732189924
sub_ts_Apr2035_Mar2036,0.3034768695132124
sub_ts_Apr2036_Mar2037,0.41026888426827113
sub_ts_Apr2037_Mar2038,0.35636210116712924
sub_ts_Apr2038_Mar2039,0.6333945903652627
sub_ts_Apr2039_Mar2040,0.23903683301116946
sub_ts_Aug2030_Jul2031,0.38823687844668436
sub_ts_Aug2031_Jul2032,0.2744569452912037
sub_ts_Aug2032_Jul2033,0.36311379308303493
sub_ts_Aug2033_Jul2034,0.5343886451911014
sub_ts_Aug2034_Jul2035,0.3858631654483103
sub_ts_Aug2035_Jul2036,0.3021096939297223
sub_ts_Aug2036_Jul2037,0.4651298658225074
sub_ts_Aug2037_Jul2038,0.36361943347880954
sub_ts_Aug2038_Jul2039,0.5860158311457409
sub_ts_Aug2039_Jul2040,0.3607262708586035
sub_ts_Dec2030_Nov2031,0.39066517672372625
sub_ts_Dec2031_Nov2032,0.2859698543481241
sub_ts_Dec2032_Nov2033,0.4198854711040703
sub_ts_Dec2033_Nov2034,0.5718120686389986
sub_ts_Dec2034_Nov2035,0.26153878638045414
sub_ts_Dec2035_Nov2036,0.3213472745974645
sub_ts_Dec2036_Nov2037,0.456188546095288
sub_ts_Dec2037_Nov2038,0.5760109866428197
sub_ts_Dec2038_Nov2039,0.34389912393045025
sub_ts_Dec2039_Nov2040,0.5161268933845088
sub_ts_Feb2030_Jan2031,0.3766111555710215
sub_ts_Feb2031_Jan2032,0.36777865079025623
sub_ts_Feb2032_Jan2033,0.28347009822571095
sub_ts_Feb2033_Jan2034,0.49328088316941704
sub_ts_Feb2034_Jan2035,0.5099540755902333
sub_ts_Feb2035_Jan2036,0.299702869012277
sub_ts_Feb2036_Jan2037,0.36140666994251963
sub_ts_Feb2037_Jan2038,0.4149108803602558
sub_ts_Feb2038_Jan2039,0.5792312323276033
sub_ts_Feb2039_Jan2040,0.3519558320053322
sub_ts_Jan2030_Dec2030,0.36036038044166163
sub_ts_Jan2031_Dec2031,0.3846367521372541
sub_ts_Jan2032_Dec2032,0.28556727391478554
sub_ts_Jan2033_Dec2033,0.4418175646201543
sub_ts_Jan2034_Dec2034,0.5547520591068433
sub_ts_Jan2035_Dec2035,0.3009502202076862
sub_ts_Jan2036_Dec2036,0.3600000236644306
sub_ts_Jan2037_Dec2037,0.4095249670163692
sub_ts_Jan2038_Dec2038,0.5727343381222502
sub_ts_Jan2039_Dec2039,0.35765182086613
sub_ts_Jan2040_Dec2040,0.5433039137075911
sub_ts_Jul2030_Jun2031,0.3839085487783802
sub_ts_Jul2031_Jun2032,0.2805435459402038
sub_ts_Jul2032_Jun2033,0.320779906056138
sub_ts_Jul2033_Jun2034,0.5086704627837473
sub_ts_Jul2034_Jun2035,0.45232126016297985
sub_ts_Jul2035_Jun2036,0.2859345639115286
sub_ts_Jul2036_Jun2037,0.4641683886362824
sub_ts_Jul2037_Jun2038,0.29248614545904356
sub_ts_Jul2038_Jun2039,0.6325373741159788
sub_ts_Jul2039_Jun2040,0.3059138502880845
sub_ts_Jun2030_May2031,0.2768322883284003
sub_ts_Jun2031_May2032,0.4039719879506085
sub_ts_Jun2032_May2033,0.29586917496270276
sub_ts_Jun2033_May2034,0.5228029881366458
sub_ts_Jun2034_May2035,0.44850653157412634
sub_ts_Jun2035_May2036,0.2934066835377985
sub_ts_Jun2036_May2037,0.40425161515287994
sub_ts_Jun2037_May2038,0.3705515065705084
sub_ts_Jun2038_May2039,0.6328162427445421
sub_ts_Jun2039_May2040,0.26882458045393537
sub_ts_Mar2030_Feb2031,0.3765237778693717
sub_ts_Mar2031_Feb2032,0.3955571935980354
sub_ts_Mar2032_Feb2033,0.24368951496760521
sub_ts_Mar2033_Feb2034,0.5116719174344976
sub_ts_Mar2034_Feb2035,0.4954383614544401
sub_ts_Mar2035_Feb2036,0.29385177771323
sub_ts_Mar2036_Feb2037,0.40822801552116744
sub_ts_Mar2037_Feb2038,0.37161897975097613
sub_ts_Mar2038_Feb2039,0.5802532562762159
sub_ts_Mar2039_Feb2040,0.3494142050795379
sub_ts_May2030_Apr2031,0.2952050691713867
sub_ts_May2031_Apr2032,0.41923297583182156
sub_ts_May2032_Apr2033,0.2959047173704235
sub_ts_May2033_Apr2034,0.511449842929186
sub_ts_May2034_Apr2035,0.4613676154598593
sub_ts_May2035_Apr2036,0.2927128234464558
sub_ts_May2036_Apr2037,0.40424896479521577
sub_ts_May2037_Apr2038,0.3570712796820705
sub_ts_May2038_Apr2039,0.6408557346455759
sub_ts_May2039_Apr2040,0.25926301475492025
sub_ts_Nov2030_Oct2031,0.41349781117252044
sub_ts_Nov2031_Oct2032,0.2763546343465181
sub_ts_Nov2032_Oct2033,0.408451157249259
sub_ts_Nov2033_Oct2034,0.5844325381547932
sub_ts_Nov2034_Oct2035,0.22972429381981582
sub_ts_Nov2035_Oct2036,0.3003176052282398
sub_ts_Nov2036_Oct2037,0.4872889936710036
sub_ts_Nov2037_Oct2038,0.5759517221037161
sub_ts_Nov2038_Oct2039,0.34398271647221546
sub_ts_Nov2039_Oct2040,0.5127881434465702
sub_ts_Oct2030_Sep2031,0.40857067987714896
sub_ts_Oct2031_Sep2032,0.2738918725457028
sub_ts_Oct2032_Sep2033,0.4260114562236765
sub_ts_Oct2033_Sep2034,0.5833478921580567
sub_ts_Oct2034_Sep2035,0.22163096645641772
sub_ts_Oct2035_Sep2036,0.3085913678456786
sub_ts_Oct2036_Sep2037,0.4774878433215115
sub_ts_Oct2037_Sep2038,0.5839447821106327
sub_ts_Oct2038_Sep2039,0.34255160117219907
sub_ts_Oct2039_Sep2040,0.42635635828759433
sub_ts_Sep2030_Aug2031,0.3907308541713068
sub_ts_Sep2031_Aug2032,0.29641346854229506
sub_ts_Sep2032_Aug2033,0.4112136373856592
sub_ts_Sep2033_Aug2034,0.5667985345979188
sub_ts_Sep2034_Aug2035,0.28765974056241794
sub_ts_Sep2035_Aug2036,0.30696630343344816
sub_ts_Sep2036_Aug2037,0.4383408165487174
sub_ts_Sep2037_Aug2038,0.5595625951061112
sub_ts_Sep2038_Aug2039,0.4264263150057236
sub_ts_Sep2039_Aug2040,0.41631590821759007
